filename,setting_id,level,section_name,block_name,type,property,content
./settings_schema.json,name,settings_schema,layout,,,name,Layout
./settings_schema.json,site_width,settings_schema,layout,,select,label,Site width
./settings_schema.json,site_width,settings_schema,layout,,select,option_1,960px
./settings_schema.json,site_width,settings_schema,layout,,select,option_2,1080px
./settings_schema.json,site_width,settings_schema,layout,,select,option_3,1200px
./settings_schema.json,site_width,settings_schema,layout,,select,option_4,1320px
./settings_schema.json,name,settings_schema,background,,,name,Background
./settings_schema.json,background_image,settings_schema,background,,image_picker,label,Background image
./settings_schema.json,background_image,settings_schema,background,,image_picker,info,1024 x 768px .jpg recommended
./settings_schema.json,repeat_background,settings_schema,background,,select,label,Repeat your background
./settings_schema.json,repeat_background,settings_schema,background,,select,option_1,Repeat only horizontally
./settings_schema.json,repeat_background,settings_schema,background,,select,option_2,Repeat only vertically
./settings_schema.json,repeat_background,settings_schema,background,,select,option_3,Repeat both
./settings_schema.json,repeat_background,settings_schema,background,,select,option_4,Do not repeat
./settings_schema.json,background_position,settings_schema,background,,select,label,Background position
./settings_schema.json,background_position,settings_schema,background,,select,option_1,Left top
./settings_schema.json,background_position,settings_schema,background,,select,option_2,Left center
./settings_schema.json,background_position,settings_schema,background,,select,option_3,Left bottom
./settings_schema.json,background_position,settings_schema,background,,select,option_4,Center top
./settings_schema.json,background_position,settings_schema,background,,select,option_5,Center center
./settings_schema.json,background_position,settings_schema,background,,select,option_6,Center bottom
./settings_schema.json,background_position,settings_schema,background,,select,option_7,Right top
./settings_schema.json,background_position,settings_schema,background,,select,option_8,Right center
./settings_schema.json,background_position,settings_schema,background,,select,option_9,Right bottom
./settings_schema.json,name,settings_schema,colors,,,name,Colors
./settings_schema.json,header,settings_schema,colors,,header,content,General
./settings_schema.json,background-color,settings_schema,colors,,color,label,Background
./settings_schema.json,primary-border-color,settings_schema,colors,,color,label,Borders and lines
./settings_schema.json,header,settings_schema,colors,,header,content,Text
